frame,time_s,coarse_min,coarse_max,coarse_mean,coarse_nonzero_pct,fine_min,fine_max,fine_mean,fine_nonzero_pct,plume_inflow_avg,plume_mid_avg,plume_wake_avg,total_smoke_mass
152,2.5333,0.0000,1.0000,0.143120,66.92,0.0000,1.0000,0.143120,66.72,1.0000,0.5837,0.3018,2862.39
153,2.5500,0.0000,1.0000,0.143262,66.94,0.0000,1.0000,0.143262,66.72,1.0000,0.5864,0.3017,2865.23
154,2.5667,0.0000,1.0000,0.143397,66.94,0.0000,1.0000,0.143397,66.72,1.0000,0.5890,0.3017,2867.94
155,2.5833,0.0000,1.0000,0.143525,66.94,0.0000,1.0000,0.143525,66.72,1.0000,0.5915,0.3016,2870.50
156,2.6000,0.0000,1.0000,0.143645,66.92,0.0000,1.0000,0.143645,66.72,1.0000,0.5940,0.3015,2872.90
157,2.6167,0.0000,1.0000,0.143757,66.90,0.0000,1.0000,0.143757,66.72,1.0000,0.5966,0.3014,2875.14
158,2.6333,0.0000,1.0000,0.143861,66.92,0.0000,1.0000,0.143861,66.71,1.0000,0.5993,0.3013,2877.22
159,2.6500,0.0000,1.0000,0.143955,66.92,0.0000,1.0000,0.143955,66.72,1.0000,0.6022,0.3012,2879.09
160,2.6667,0.0000,1.0000,0.144036,66.94,0.0000,1.0000,0.144036,66.72,1.0000,0.6053,0.3012,2880.72
161,2.6833,0.0000,1.0000,0.144103,66.94,0.0000,1.0000,0.144103,66.72,1.0000,0.6086,0.3011,2882.07
162,2.7000,0.0000,1.0000,0.144156,66.94,0.0000,1.0000,0.144156,66.72,1.0000,0.6121,0.3010,2883.12
163,2.7167,0.0000,1.0000,0.144194,66.94,0.0000,1.0000,0.144194,66.73,1.0000,0.6159,0.3010,2883.87
164,2.7333,0.0000,1.0000,0.144217,66.94,0.0000,1.0000,0.144217,66.75,1.0000,0.6197,0.3009,2884.34
165,2.7500,0.0000,1.0000,0.144227,66.94,0.0000,1.0000,0.144227,66.75,1.0000,0.6237,0.3008,2884.54
166,2.7667,0.0000,1.0000,0.144226,66.94,0.0000,1.0000,0.144226,66.76,1.0000,0.6277,0.3007,2884.52
167,2.7833,0.0000,1.0000,0.144215,66.98,0.0000,1.0000,0.144215,66.76,1.0000,0.6317,0.3007,2884.30
168,2.8000,0.0000,1.0000,0.144197,66.98,0.0000,1.0000,0.144197,66.77,1.0000,0.6357,0.3006,2883.94
169,2.8167,0.0000,1.0000,0.144175,66.98,0.0000,1.0000,0.144175,66.77,1.0000,0.6395,0.3005,2883.50
170,2.8333,0.0000,1.0000,0.144153,66.98,0.0000,1.0000,0.144153,66.77,1.0000,0.6432,0.3005,2883.06
171,2.8500,0.0000,1.0000,0.144134,66.98,0.0000,1.0000,0.144134,66.77,1.0000,0.6466,0.3004,2882.67
172,2.8667,0.0000,1.0000,0.144121,66.98,0.0000,1.0000,0.144121,66.78,1.0000,0.6497,0.3003,2882.42
173,2.8833,0.0000,1.0000,0.144118,66.98,0.0000,1.0000,0.144118,66.79,1.0000,0.6526,0.3002,2882.36
174,2.9000,0.0000,1.0000,0.144129,67.00,0.0000,1.0000,0.144129,66.79,1.0000,0.6553,0.3002,2882.57
175,2.9167,0.0000,1.0000,0.144154,67.00,0.0000,1.0000,0.144154,66.79,1.0000,0.6579,0.3001,2883.08
176,2.9333,0.0000,1.0000,0.144194,67.00,0.0000,1.0000,0.144194,66.79,1.0000,0.6603,0.3000,2883.89
177,2.9500,0.0000,1.0000,0.144250,67.00,0.0000,1.0000,0.144250,66.79,1.0000,0.6628,0.2999,2885.01
178,2.9667,0.0000,1.0000,0.144321,67.02,0.0000,1.0000,0.144321,66.79,1.0000,0.6653,0.2998,2886.43
179,2.9833,0.0000,1.0000,0.144406,67.02,0.0000,1.0000,0.144406,66.79,1.0000,0.6680,0.2998,2888.11
180,3.0000,0.0000,1.0000,0.144501,67.02,0.0000,1.0000,0.144501,66.79,1.0000,0.6707,0.2997,2890.01
181,3.0167,0.0000,1.0000,0.144603,67.02,0.0000,1.0000,0.144603,66.80,1.0000,0.6736,0.2996,2892.05
182,3.0333,0.0000,1.0000,0.144709,67.02,0.0000,1.0000,0.144709,66.79,1.0000,0.6767,0.2995,2894.18
183,3.0500,0.0000,1.0000,0.144818,67.02,0.0000,1.0000,0.144818,66.80,1.0000,0.6799,0.2994,2896.36
184,3.0667,0.0000,1.0000,0.144929,67.00,0.0000,1.0000,0.144929,66.80,1.0000,0.6832,0.2993,2898.57
185,3.0833,0.0000,1.0000,0.145040,67.00,0.0000,1.0000,0.145040,66.80,1.0000,0.6865,0.2992,2900.80
186,3.1000,0.0000,1.0000,0.145152,67.00,0.0000,1.0000,0.145152,66.80,1.0000,0.6900,0.2991,2903.04
187,3.1167,0.0000,1.0000,0.145266,67.00,0.0000,1.0000,0.145266,66.80,1.0000,0.6934,0.2990,2905.31
188,3.1333,0.0000,1.0000,0.145380,67.00,0.0000,1.0000,0.145380,66.81,1.0000,0.6968,0.2989,2907.60
189,3.1500,0.0000,1.0000,0.145496,67.00,0.0000,1.0000,0.145496,66.82,1.0000,0.7001,0.2988,2909.92
190,3.1667,0.0000,1.0000,0.145615,67.00,0.0000,1.0000,0.145615,66.82,1.0000,0.7032,0.2987,2912.30
191,3.1833,0.0000,1.0000,0.145736,67.00,0.0000,1.0000,0.145736,66.83,1.0000,0.7062,0.2985,2914.71
192,3.2000,0.0000,1.0000,0.145857,67.00,0.0000,1.0000,0.145857,66.83,1.0000,0.7090,0.2984,2917.14
193,3.2167,0.0000,1.0000,0.145977,67.00,0.0000,1.0000,0.145977,66.82,1.0000,0.7116,0.2983,2919.54
194,3.2333,0.0000,1.0000,0.146095,67.00,0.0000,1.0000,0.146095,66.82,1.0000,0.7140,0.2982,2921.90
